meal_id,date,meal_time,food,portion_size,had_coffee,sleep_quality,stress_level,location,symptom,symptom_severity,hours_after_meal
1,2024-10-01,Morning,milk,Large,Yes,Okay,Low,Office,Acidity,10,3
2,2024-10-01,Afternoon,paratha,Medium,Yes,Okay,Low,Street,None,0,0
3,2024-10-01,Evening,chicken curry,Large,No,Okay,Low,Street,Fatigue,9,4
4,2024-10-02,Morning,fish,Large,No,Poor,High,Restaurant,Bloating,3,3
5,2024-10-02,Afternoon,paneer curry,Medium,No,Poor,High,Home,None,0,0
6,2024-10-03,Morning,whole wheat bread,Small,No,Okay,Medium,Home,Brain fog,8,3
7,2024-10-03,Afternoon,bread,Medium,Yes,Okay,Medium,Street,None,0,0
8,2024-10-04,Morning,poha,Large,Yes,Okay,Medium,Home,Fatigue,5,4
9,2024-10-04,Afternoon,milk,Large,No,Okay,Medium,Street,Acidity,3,3
10,2024-10-05,Morning,biryani,Medium,Yes,Good,Low,Office,Fatigue,4,4
11,2024-10-05,Afternoon,biryani,Small,No,Good,Low,Home,None,0,0
12,2024-10-05,Evening,milk,Large,No,Good,Low,Home,Nausea,9,4
13,2024-10-06,Morning,dosa,Large,Yes,Poor,Low,Street,Fatigue,3,4
14,2024-10-06,Afternoon,overnight oats,Small,Yes,Poor,Low,Home,None,0,0
15,2024-10-06,Evening,rajma,Large,No,Poor,Low,Restaurant,None,0,0
16,2024-10-07,Morning,paneer curry,Small,Yes,Good,High,Restaurant,Acidity,3,3
17,2024-10-07,Afternoon,naan,Small,No,Good,High,Home,None,0,0
18,2024-10-07,Evening,pulao,Large,Yes,Good,High,Office,Nausea,6,1
19,2024-10-08,Morning,pasta,Medium,No,Okay,Low,Home,None,0,0
20,2024-10-08,Afternoon,rajma,Medium,Yes,Okay,Low,Office,Bloating,8,2
21,2024-10-09,Morning,poha,Large,Yes,Good,High,Street,None,0,0
22,2024-10-09,Afternoon,salad,Small,Yes,Good,High,Restaurant,Fatigue,10,3
23,2024-10-10,Morning,bread,Medium,Yes,Good,High,Home,Fatigue,6,4
24,2024-10-10,Afternoon,chole,Large,Yes,Good,High,Street,Bowel movement,3,2
25,2024-10-10,Evening,boiled eggs,Small,Yes,Good,High,Home,None,0,0
26,2024-10-11,Morning,boiled eggs,Large,No,Poor,Medium,Street,None,0,0
27,2024-10-11,Afternoon,dal,Medium,No,Poor,Medium,Home,None,0,0
28,2024-10-11,Evening,rice,Large,Yes,Poor,Medium,Home,Fatigue,3,1
29,2024-10-12,Morning,boiled eggs,Medium,No,Good,Medium,Home,None,0,0
30,2024-10-12,Afternoon,paratha,Medium,No,Good,Medium,Restaurant,Bloating,7,4
31,2024-10-13,Morning,paratha,Large,No,Good,Low,Office,None,0,0
32,2024-10-13,Afternoon,whole wheat bread,Medium,No,Good,Low,Office,None,0,0
33,2024-10-14,Morning,omelette,Medium,Yes,Poor,High,Restaurant,Nausea,9,2
34,2024-10-14,Afternoon,dal,Medium,Yes,Poor,High,Restaurant,None,0,0
35,2024-10-14,Evening,pulao,Small,No,Poor,High,Street,None,0,0
36,2024-10-15,Morning,fish,Small,No,Good,Low,Street,Gas,7,4
37,2024-10-15,Afternoon,vegetables,Small,Yes,Good,Low,Home,None,0,0
38,2024-10-16,Morning,roti,Large,No,Good,Low,Street,Bloating,3,1
39,2024-10-16,Afternoon,salad,Small,Yes,Good,Low,Restaurant,None,0,0
40,2024-10-16,Evening,salad,Medium,No,Good,Low,Restaurant,None,0,0
41,2024-10-17,Morning,milk,Large,No,Poor,High,Home,None,0,0
42,2024-10-17,Afternoon,rice,Medium,No,Poor,High,Home,Nausea,4,1
43,2024-10-18,Morning,biryani,Large,Yes,Poor,Medium,Restaurant,Acidity,9,3
44,2024-10-18,Afternoon,paneer curry,Medium,No,Poor,Medium,Street,None,0,0
45,2024-10-19,Morning,paratha,Small,Yes,Poor,Medium,Restaurant,Bowel movement,10,3
46,2024-10-19,Afternoon,rice,Small,No,Poor,Medium,Street,Bowel movement,3,2
47,2024-10-20,Morning,paratha,Large,Yes,Good,High,Home,Bowel movement,5,4
48,2024-10-20,Afternoon,butter chicken,Small,No,Good,High,Restaurant,None,0,0
49,2024-10-20,Evening,fish,Medium,No,Good,High,Office,None,0,0
50,2024-10-21,Morning,bread,Small,No,Okay,High,Street,None,0,0
51,2024-10-21,Afternoon,bread,Large,Yes,Okay,High,Office,Brain fog,3,4
52,2024-10-22,Morning,salad,Large,Yes,Poor,High,Office,None,0,0
53,2024-10-22,Afternoon,naan,Small,Yes,Poor,High,Street,Bowel movement,3,1
54,2024-10-22,Evening,vegetables,Large,Yes,Poor,High,Home,None,0,0
55,2024-10-23,Morning,beans curry,Small,No,Okay,High,Office,Bowel movement,8,2
56,2024-10-23,Afternoon,vegetables,Large,Yes,Okay,High,Restaurant,Nausea,6,1
57,2024-10-24,Morning,egg curry,Medium,No,Good,Low,Restaurant,Bloating,7,3
58,2024-10-24,Afternoon,beans curry,Medium,Yes,Good,Low,Street,None,0,0
59,2024-10-24,Evening,overnight oats,Small,Yes,Good,Low,Home,None,0,0
60,2024-10-25,Morning,rajma,Small,No,Poor,Medium,Office,None,0,0
61,2024-10-25,Afternoon,butter chicken,Large,Yes,Poor,Medium,Restaurant,Gas,10,3
62,2024-10-25,Evening,upma,Small,Yes,Poor,Medium,Street,None,0,0
63,2024-10-26,Morning,fish,Small,Yes,Good,High,Street,None,0,0
64,2024-10-26,Afternoon,overnight oats,Small,No,Good,High,Home,Bowel movement,6,4
65,2024-10-26,Evening,boiled eggs,Medium,Yes,Good,High,Home,None,0,0
66,2024-10-27,Morning,naan,Medium,Yes,Okay,Medium,Office,Bloating,4,4
67,2024-10-27,Afternoon,dal,Small,Yes,Okay,Medium,Restaurant,None,0,0
68,2024-10-28,Morning,chole,Small,Yes,Poor,Low,Street,Gas,5,4
69,2024-10-28,Afternoon,omelette,Medium,Yes,Poor,Low,Office,Bloating,6,4
70,2024-10-28,Evening,upma,Small,Yes,Poor,Low,Street,None,0,0
71,2024-10-29,Morning,curd,Large,Yes,Good,Low,Restaurant,Bloating,5,4
72,2024-10-29,Afternoon,boiled eggs,Large,No,Good,Low,Street,None,0,0
73,2024-10-30,Morning,chicken curry,Large,No,Okay,Medium,Restaurant,None,0,0
74,2024-10-30,Afternoon,upma,Medium,No,Okay,Medium,Home,None,0,0
75,2024-10-31,Morning,vegetables,Medium,No,Poor,High,Home,Acidity,5,1
76,2024-10-31,Afternoon,chole,Medium,No,Poor,High,Office,Bloating,9,1
77,2024-10-31,Evening,whole wheat bread,Large,No,Poor,High,Restaurant,Bowel movement,4,4
78,2024-11-01,Morning,dal,Large,Yes,Good,Medium,Home,Bloating,7,2
79,2024-11-01,Afternoon,whole wheat bread,Large,No,Good,Medium,Office,None,0,0
80,2024-11-01,Evening,dal,Large,No,Good,Medium,Restaurant,None,0,0
81,2024-11-02,Morning,upma,Large,No,Poor,High,Office,Gas,4,2
82,2024-11-02,Afternoon,bread,Medium,Yes,Poor,High,Home,Fatigue,7,2
83,2024-11-02,Evening,whole wheat bread,Small,No,Poor,High,Restaurant,Bowel movement,10,3
84,2024-11-03,Morning,paneer curry,Large,No,Poor,Low,Home,None,0,0
85,2024-11-03,Afternoon,chicken curry,Medium,No,Poor,Low,Office,Nausea,5,3
86,2024-11-04,Morning,pasta,Medium,No,Poor,High,Restaurant,None,0,0
